Firma;Strasse;PLZ;Ort;Land;LoginEmail
Zeppelino´s;Arnulf-Klett-Platz 7;70173;Stuttgart;Deutschland
Zum Spätzle-Schwob;Vogelsangstr. 50;70197;Stuttgart;Deutschland
Ristorante Dal Sardo;Danzigerstr. 40;71638;Ludwigsburg;Deutschland
Rossknecht im Sudhaus;Bahnhofstrasse 17;71638;Ludwigsburg;Deutschland
Schloßhotel Monrepos;Domäne Monrepos 22;71634;Ludwigsburg;Deutschland
Trattoria Weingasse Antipasto;Seestraße 2;71638;Ludwigsburg;Deutschland
YGREC Restaurant;Mathildenstr. 12;71638;Ludwigsburg;Deutschland
Auwirt;Theodor-Heuss-Straße 7;71642;Ludwigsburg;Deutschland
Badgarten;Mühlstr. 36;71640;Ludwigsburg;Deutschland
Blauer Engel;Mathildenstr. 20;71638;Ludwigsburg;Deutschland
Cafe Ennui;Seestr. 3;71638;Ludwigsburg;Deutschland
Castel del Monte;Marktplatz 12;71634;Ludwigsburg;Deutschland
China-Palast;Bottwartalstr. 86;71642;Ludwigsburg;Deutschland
Chinarestaurant Kaiser;Kurfürstenstr. 9;71636;Ludwigsburg;Deutschland
Die Griechin;Leonberger Str. 23/1;71638;Ludwigsburg;Deutschland
El Sombrero;Myliusstraße 15;71638;Ludwigsburg;Deutschland
Emporio Bar;Wilhelmstraße 16;71638;Ludwigsburg;Deutschland
Falcone Trattoria Bar;Stuttgarter Str. 2;71638;Ludwigsburg;Deutschland
Kleine Auster;Eberhardstraße 14;71634;Ludwigsburg;Deutschland
MTV-Campus;Bebenhäuser Str. 41;71638;Ludwigsburg;Deutschland
Wirtshaus am See;Uferstraße 50;71642;Ludwigsburg;Deutschland
Zentral-Bar;Wilhelmstraße 23;71638;Ludwigsburg;Deutschland
Zur alten Presse;Eberhardstraße 19;71634;Ludwigsburg;Deutschland
Zur Post;Schlossstraße 4;71634;Ludwigsburg;Deutschland
Ambiance;Geisinger Str. 15;74321;Bietigheim-Bissingen;Deutschland
Brasserie im Kronenzentrum;Mühlwiesenstraße 6;74321;Bietigheim-Bissingen;Deutschland
Drei Kronen;Kronenbergstraße 2;74321;Bietigheim-Bissingen;Deutschland
Enz-Stüble;Holzgartenstraße 2;74321;Bietigheim-Bissingen;Deutschland
Gasthaus zur Krone;Hauptstraße 24;74321;Bietigheim-Bissingen;Deutschland
